GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0006520	cellular amino acid metabolic process	46	124	37.10%	227	6436	3.53%	YBR248C, YBR249C, YCL009C, YCL030C, YCR053W, YDL066W, YDL131W, YDL182W, YDR035W, YDR158W, YDR321W, YDR502C, YEL046C, YER023W, YER043C, YER052C, YER055C, YER069W, YER086W, YER090W, YGL009C, YGL148W, YGL202W, YGR155W, YHR018C, YHR063C, YHR208W, YIL094C, YIL116W, YJR016C, YJR025C, YJR109C, YJR148W, YLR027C, YLR355C, YMR062C, YMR083W, YMR108W, YNL037C, YNL104C, YOL058W, YOL064C, YOL086C, YOR184W, YPL111W, YPR145W
GO:0055086	nucleobase-containing small molecule metabolic process	14	124	11.29%	231	6436	3.59%	YBL099W, YDL055C, YDL103C, YER003C, YER043C, YFL045C, YFR053C, YGR180C, YJR025C, YJR121W, YKL035W, YNL141W, YOR184W, YOR317W
GO:0032787	monocarboxylic acid metabolic process	13	124	10.48%	187	6436	2.91%	YBR177C, YDL066W, YDR321W, YEL071W, YER073W, YFR053C, YHR063C, YJR025C, YLR027C, YOR317W, YPL028W, YPL061W, YPR145W
GO:0002181	cytoplasmic translation	11	124	8.87%	201	6436	3.12%	YBL092W, YDR382W, YDR429C, YHR064C, YLR167W, YML063W, YNL069C, YNL178W, YNL255C, YPL131W, YPL237W
GO:0005975	carbohydrate metabolic process	10	124	8.06%	261	6436	4.06%	YBR160W, YDL066W, YER003C, YFL045C, YFR053C, YIL053W, YKL035W, YKL085W, YML070W, YNL241C
GO:0042221	response to chemical	9	124	7.26%	567	6436	8.81%	YBL030C, YBL064C, YDR353W, YEL037C, YHR029C, YHR064C, YML070W, YNL134C, YNL241C
GO:0006629	lipid metabolic process	8	124	6.45%	347	6436	5.39%	YBR160W, YBR177C, YER043C, YGR175C, YML008C, YOL064C, YOR317W, YPL028W
GO:0051186	cofactor metabolic process	8	124	6.45%	187	6436	2.91%	YBL064C, YBR035C, YDR502C, YER043C, YGR180C, YHR063C, YJR025C, YOR317W
GO:0006091	generation of precursor metabolites and energy	8	124	6.45%	142	6436	2.21%	YBR160W, YFR053C, YJR121W, YKL035W, YML070W, YNL241C, YOL086C, YPL061W
GO:0051321	meiotic cell cycle	7	124	5.65%	318	6436	4.94%	YBR009C, YBR160W, YML085C, YNL030W, YNL031C, YOR198C, YOR230W
GO:0006811	ion transport	7	124	5.65%	343	6436	5.33%	YBL030C, YBL099W, YBR106W, YBR127C, YJR121W, YKL120W, YOR317W
GO:0051603	proteolysis involved in cellular protein catabolic process	7	124	5.65%	258	6436	4.01%	YEL037C, YFR004W, YFR010W, YGL011C, YGR253C, YHR200W, YLR167W
GO:0055085	transmembrane transport	7	124	5.65%	460	6436	7.15%	YBL030C, YBL099W, YBR127C, YDL198C, YFR053C, YJR121W, YKL120W
GO:0006364	rRNA processing	6	124	4.84%	352	6436	5.47%	YGL123W, YHR064C, YHR089C, YLR167W, YML063W, YOR310C
GO:0015931	nucleobase-containing compound transport	6	124	4.84%	181	6436	2.81%	YBL030C, YDL198C, YDR381W, YER165W, YGL123W, YNL178W
GO:0006281	DNA repair	6	124	4.84%	300	6436	4.66%	YBR160W, YDL182W, YDR381W, YEL037C, YNL031C, YNL178W
GO:0045333	cellular respiration	6	124	4.84%	110	6436	1.71%	YBL030C, YDL066W, YEL071W, YKL085W, YNL037C, YPR191W
GO:0006366	transcription by RNA polymerase II	6	124	4.84%	536	6436	8.33%	YBR009C, YBR160W, YEL037C, YIL033C, YNL030W, YOR230W
GO:0006325	chromatin organization	6	124	4.84%	310	6436	4.82%	YBR009C, YBR160W, YDL182W, YNL030W, YNL031C, YOR230W
GO:0007005	mitochondrion organization	5	124	4.03%	279	6436	4.33%	YDL198C, YFR004W, YHL021C, YLR355C, YPR191W
GO:0006468	protein phosphorylation	5	124	4.03%	245	6436	3.81%	YBR160W, YDR382W, YGR086C, YHR107C, YIL033C
GO:0000278	mitotic cell cycle	5	124	4.03%	373	6436	5.80%	YBR160W, YGR155W, YHR107C, YML085C, YOR198C
GO:0048285	organelle fission	4	124	3.23%	268	6436	4.16%	YBR160W, YFR004W, YML085C, YOR198C
GO:0033043	regulation of organelle organization	4	124	3.23%	326	6436	5.07%	YBR160W, YIL033C, YOR198C, YOR230W
GO:0006417	regulation of translation	4	124	3.23%	138	6436	2.14%	YER165W, YGL123W, YNL069C, YNL255C
